2023-11-05 20:48:11,008 - INFO - Endpoint: /dashboard/project/count | Processing time: 0.0 ms
2023-11-05 20:48:11,008 - INFO - Endpoint: /dashboard/building/count | Processing time: 0.0 ms
2023-11-05 20:48:11,008 - INFO - Endpoint: /dashboard/project/location_ratio | Processing time: 0.0 ms
2023-11-05 20:48:11,008 - INFO - Endpoint: /dashboard/project/construction_company_ratio | Processing time: 0.0 ms
2023-11-05 20:48:11,008 - INFO - Endpoint: /dashboard/project/usage_ratio | Processing time: 0.0 ms
2023-11-05 20:48:11,008 - INFO - Endpoint: /dashboard/project/total_area_histogram | Processing time: 0.0 ms
2023-11-05 20:48:11,008 - INFO - Endpoint: /dashboard/building/floor_count_histogram | Processing time: 0.0 ms
2023-11-05 20:48:11,008 - INFO - Endpoint: /dashboard/project/map | Processing time: 0.0 ms
2023-11-05 20:48:11,008 - INFO - Endpoint: /user/profile | Processing time: 0.0 ms
2023-11-05 20:48:11,008 - INFO - Endpoint: /dashboard/project/count | Processing time: 0.0 ms
2023-11-05 20:48:11,008 - INFO - Endpoint: /dashboard/building/count | Processing time: 0.0 ms
2023-11-05 20:48:11,008 - INFO - Endpoint: /dashboard/project/location_ratio | Processing time: 0.0 ms
2023-11-05 20:48:11,008 - INFO - Endpoint: /dashboard/project/construction_company_ratio | Processing time: 0.0 ms
2023-11-05 20:48:11,008 - INFO - Endpoint: /dashboard/project/usage_ratio | Processing time: 0.0 ms
2023-11-05 20:48:11,008 - INFO - Endpoint: /dashboard/project/total_area_histogram | Processing time: 0.0 ms
2023-11-05 20:48:11,008 - INFO - Endpoint: /dashboard/building/floor_count_histogram | Processing time: 0.0 ms
2023-11-05 20:48:11,008 - INFO - Endpoint: /dashboard/project/map | Processing time: 0.0 ms
2023-11-05 20:48:11,026 - INFO - Endpoint: /user/profile | Processing time: 17.46 ms
2023-11-05 20:48:11,026 - INFO - Endpoint: /dashboard/project/count | Processing time: 0.0 ms
2023-11-05 20:48:11,026 - INFO - Endpoint: /dashboard/building/count | Processing time: 0.0 ms
2023-11-05 20:48:11,026 - INFO - Endpoint: /dashboard/project/location_ratio | Processing time: 0.0 ms
2023-11-05 20:48:11,026 - INFO - Endpoint: /dashboard/project/construction_company_ratio | Processing time: 0.0 ms
2023-11-05 20:48:11,026 - INFO - Endpoint: /dashboard/project/usage_ratio | Processing time: 0.0 ms
2023-11-05 20:48:11,026 - INFO - Endpoint: /dashboard/project/total_area_histogram | Processing time: 0.0 ms
2023-11-05 20:48:11,026 - INFO - Endpoint: /dashboard/building/floor_count_histogram | Processing time: 0.0 ms
2023-11-05 20:48:11,026 - INFO - Endpoint: /dashboard/project/map | Processing time: 0.0 ms
2023-11-05 20:48:11,026 - INFO - Endpoint: /user/profile | Processing time: 0.0 ms
2023-11-05 20:48:11,026 - INFO - Endpoint: /dashboard/project/count | Processing time: 0.0 ms
2023-11-05 20:48:11,026 - INFO - Endpoint: /dashboard/building/count | Processing time: 0.0 ms
2023-11-05 20:48:11,026 - INFO - Endpoint: /dashboard/project/location_ratio | Processing time: 0.0 ms
2023-11-05 20:48:11,046 - INFO - Endpoint: /dashboard/project/construction_company_ratio | Processing time: 2.994 ms
2023-11-05 20:48:11,046 - INFO - Endpoint: /dashboard/project/usage_ratio | Processing time: 2.994 ms
2023-11-05 20:48:11,048 - INFO - Endpoint: /dashboard/project/total_area_histogram | Processing time: 3.999 ms
2023-11-05 20:48:11,048 - INFO - Endpoint: /dashboard/building/floor_count_histogram | Processing time: 3.999 ms
2023-11-05 20:48:11,048 - INFO - Endpoint: /dashboard/project/map | Processing time: 3.999 ms
2023-11-05 20:48:11,050 - INFO - Endpoint: /user/profile | Processing time: 4.999 ms
2023-11-05 20:49:11,531 - INFO - Endpoint: /dashboard/project/count | Processing time: 5.922000000000001 ms
2023-11-05 20:49:11,531 - INFO - Endpoint: /dashboard/building/count | Processing time: 4.999 ms
2023-11-05 20:49:11,531 - INFO - Endpoint: /dashboard/project/usage_ratio | Processing time: 4.999 ms
2023-11-05 20:49:11,531 - INFO - Endpoint: /dashboard/project/total_area_histogram | Processing time: 4.999 ms
2023-11-05 20:49:11,532 - INFO - Endpoint: /dashboard/project/location_ratio | Processing time: 6.002999999999999 ms
2023-11-05 20:49:11,533 - INFO - Endpoint: /dashboard/project/construction_company_ratio | Processing time: 6.697 ms
2023-11-05 20:49:11,539 - INFO - Endpoint: /dashboard/building/floor_count_histogram | Processing time: 2.857 ms
2023-11-05 20:49:11,540 - INFO - Endpoint: /dashboard/project/map | Processing time: 2.836 ms
2023-11-05 20:49:11,542 - INFO - Endpoint: /user/profile | Processing time: 4.8500000000000005 ms
2023-11-05 20:49:11,542 - INFO - Endpoint: /dashboard/project/count | Processing time: 4.078 ms
2023-11-05 20:49:11,542 - INFO - Endpoint: /dashboard/building/count | Processing time: 4.078 ms
2023-11-05 20:49:11,542 - INFO - Endpoint: /dashboard/project/usage_ratio | Processing time: 4.078 ms
2023-11-05 20:49:11,548 - INFO - Endpoint: /dashboard/project/total_area_histogram | Processing time: 2.996 ms
2023-11-05 20:49:11,549 - INFO - Endpoint: /dashboard/project/location_ratio | Processing time: 2.716 ms
2023-11-05 20:49:11,550 - INFO - Endpoint: /dashboard/project/construction_company_ratio | Processing time: 3.7190000000000003 ms
2023-11-05 20:49:11,550 - INFO - Endpoint: /dashboard/building/floor_count_histogram | Processing time: 3.7190000000000003 ms
2023-11-05 20:49:11,550 - INFO - Endpoint: /dashboard/project/map | Processing time: 3.7190000000000003 ms
2023-11-05 20:49:11,550 - INFO - Endpoint: /user/profile | Processing time: 3.7190000000000003 ms
2023-11-05 20:49:17,803 - INFO - Endpoint: /login | Processing time: 0.0 ms
2023-11-05 20:49:17,873 - INFO - Endpoint: /login | Processing time: 69.848 ms
2023-11-05 20:49:17,926 - INFO - Endpoint: /dashboard/project/count | Processing time: 12.171 ms
2023-11-05 20:49:17,937 - INFO - Endpoint: /dashboard/building/count | Processing time: 10.003 ms
